Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);Flag
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;1;Animals live;1;No Quantity;0;0;;15990;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;1;Animals live;1;No Quantity;0;0;;262296;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;1;Animals live;1;No Quantity;0;0;;64641266;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;1;Animals live;1;No Quantity;0;0;;75097604;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;1;Animals live;1;No Quantity;0;0;;14219396;4
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;1;Animals live;1;No Quantity;0;0;;21319659;4
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;1;Animals live;1;No Quantity;0;0;;1231195;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;1;Animals live;1;No Quantity;0;0;;28699;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;1;Animals live;1;No Quantity;0;0;;271067;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;1;Animals live;1;No Quantity;0;0;;71425337;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;1;Animals live;1;No Quantity;0;0;;86340612;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;1;Animals live;1;No Quantity;0;0;;16002615;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;1;Animals live;1;No Quantity;0;0;;21102251;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;1;Animals live;1;No Quantity;0;0;;1811735;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;2;Meat and edible meat offal;1;No Quantity;0;0;;93165852;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;2;Meat and edible meat offal;1;No Quantity;0;0;;137401570;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;2;Meat and edible meat offal;1;No Quantity;0;0;;359678486;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;2;Meat and edible meat offal;1;No Quantity;0;0;;548629087;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;2;Meat and edible meat offal;1;No Quantity;0;0;;187759096;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;2;Meat and edible meat offal;1;No Quantity;0;0;;79408;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;2;Meat and edible meat offal;1;No Quantity;0;0;;106507050;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;2;Meat and edible meat offal;1;No Quantity;0;0;;138029588;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;2;Meat and edible meat offal;1;No Quantity;0;0;;372961981;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;2;Meat and edible meat offal;1;No Quantity;0;0;;539896240;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;2;Meat and edible meat offal;1;No Quantity;0;0;;196491164;0
