Period Desc.;Trade Flow;Reporter;Reporter ISO;Partner;Partner ISO;Commodity;Trade Value (US$)
2017;Import;United Kingdom;GBR;China;CHN;Animals live;15990
2017;Export;United Kingdom;GBR;China;CHN;Animals live;262296
2017;Import;United Kingdom;GBR;France;FRA;Animals live;64641266
2017;Export;United Kingdom;GBR;France;FRA;Animals live;75097604
2017;Import;United Kingdom;GBR;Germany;DEU;Animals live;14219396
2017;Export;United Kingdom;GBR;Germany;DEU;Animals live;21319659
2017;Export;United Kingdom;GBR;India;IND;Animals live;1231195
2018;Import;United Kingdom;GBR;China;CHN;Animals live;28699
2018;Export;United Kingdom;GBR;China;CHN;Animals live;271067
2018;Import;United Kingdom;GBR;France;FRA;Animals live;71425337
2018;Export;United Kingdom;GBR;France;FRA;Animals live;86340612
2018;Import;United Kingdom;GBR;Germany;DEU;Animals live;16002615
2018;Export;United Kingdom;GBR;Germany;DEU;Animals live;21102251
2018;Export;United Kingdom;GBR;India;IND;Animals live;1811735
2017;Export;United Kingdom;GBR;China;CHN;Meat and edible meat offal;93165852
2017;Import;United Kingdom;GBR;France;FRA;Meat and edible meat offal;137401570
2017;Export;United Kingdom;GBR;France;FRA;Meat and edible meat offal;359678486
2017;Import;United Kingdom;GBR;Germany;DEU;Meat and edible meat offal;548629087
2017;Export;United Kingdom;GBR;Germany;DEU;Meat and edible meat offal;187759096
2017;Export;United Kingdom;GBR;India;IND;Meat and edible meat offal;79408
2018;Export;United Kingdom;GBR;China;CHN;Meat and edible meat offal;106507050
2018;Import;United Kingdom;GBR;France;FRA;Meat and edible meat offal;138029588
2018;Export;United Kingdom;GBR;France;FRA;Meat and edible meat offal;372961981
2018;Import;United Kingdom;GBR;Germany;DEU;Meat and edible meat offal;539896240
2018;Export;United Kingdom;GBR;Germany;DEU;Meat and edible meat offal;196491164
2018;Export;United Kingdom;GBR;India;IND;Meat and edible meat offal;98223
2017;Import;United Kingdom;GBR;China;CHN;Fish and crustaceans, molluscs and other aquatic invertebrates;256703192
2017;Export;United Kingdom;GBR;China;CHN;Fish and crustaceans, molluscs and other aquatic invertebrates;149498316
2017;Import;United Kingdom;GBR;France;FRA;Fish and crustaceans, molluscs and other aquatic invertebrates;52658403
2017;Export;United Kingdom;GBR;France;FRA;Fish and crustaceans, molluscs and other aquatic invertebrates;651084266
2017;Import;United Kingdom;GBR;Germany;DEU;Fish and crustaceans, molluscs and other aquatic invertebrates;125721625
2017;Export;United Kingdom;GBR;Germany;DEU;Fish and crustaceans, molluscs and other aquatic invertebrates;78181162
2017;Import;United Kingdom;GBR;India;IND;Fish and crustaceans, molluscs and other aquatic invertebrates;156777590
2017;Export;United Kingdom;GBR;India;IND;Fish and crustaceans, molluscs and other aquatic invertebrates;3511984
2017;Re-Export;United Kingdom;GBR;India;IND;Fish and crustaceans, molluscs and other aquatic invertebrates;117180
2018;Import;United Kingdom;GBR;China;CHN;Fish and crustaceans, molluscs and other aquatic invertebrates;258872932
2018;Export;United Kingdom;GBR;China;CHN;Fish and crustaceans, molluscs and other aquatic invertebrates;184145750
2018;Import;United Kingdom;GBR;France;FRA;Fish and crustaceans, molluscs and other aquatic invertebrates;56817154
2018;Export;United Kingdom;GBR;France;FRA;Fish and crustaceans, molluscs and other aquatic invertebrates;637256034
2018;Import;United Kingdom;GBR;Germany;DEU;Fish and crustaceans, molluscs and other aquatic invertebrates;100972697
2018;Export;United Kingdom;GBR;Germany;DEU;Fish and crustaceans, molluscs and other aquatic invertebrates;74812105
2018;Import;United Kingdom;GBR;India;IND;Fish and crustaceans, molluscs and other aquatic invertebrates;123039377
2018;Export;United Kingdom;GBR;India;IND;Fish and crustaceans, molluscs and other aquatic invertebrates;1998858
2017;Import;United Kingdom;GBR;China;CHN;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;42787832
2017;Export;United Kingdom;GBR;China;CHN;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;122969317
2017;Import;United Kingdom;GBR;France;FRA;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;634626658
2017;Export;United Kingdom;GBR;France;FRA;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;186262233
2017;Import;United Kingdom;GBR;Germany;DEU;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;490679151
2017;Export;United Kingdom;GBR;Germany;DEU;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;103952712
2017;Import;United Kingdom;GBR;India;IND;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;30717
2017;Export;United Kingdom;GBR;India;IND;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1931495
2018;Import;United Kingdom;GBR;China;CHN;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;43629265
2018;Export;United Kingdom;GBR;China;CHN;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;109444083
2018;Import;United Kingdom;GBR;France;FRA;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;684007942
2018;Export;United Kingdom;GBR;France;FRA;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;201860806
2018;Import;United Kingdom;GBR;Germany;DEU;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;515645438
2018;Export;United Kingdom;GBR;Germany;DEU;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;126690206
2018;Import;United Kingdom;GBR;India;IND;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;34324
2018;Export;United Kingdom;GBR;India;IND;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;2007206
2017;Import;United Kingdom;GBR;China;CHN;Animal originated products not elsewhere specified or included;40985052
2017;Export;United Kingdom;GBR;China;CHN;Animal originated products not elsewhere specified or included;794877
2017;Re-Import;United Kingdom;GBR;China;CHN;Animal originated products not elsewhere specified or included;1631530
2017;Import;United Kingdom;GBR;France;FRA;Animal originated products not elsewhere specified or included;4091615
2017;Export;United Kingdom;GBR;France;FRA;Animal originated products not elsewhere specified or included;15731074
2017;Import;United Kingdom;GBR;Germany;DEU;Animal originated products not elsewhere specified or included;14137547
2017;Export;United Kingdom;GBR;Germany;DEU;Animal originated products not elsewhere specified or included;14121605
2017;Import;United Kingdom;GBR;India;IND;Animal originated products not elsewhere specified or included;2257538
2017;Export;United Kingdom;GBR;India;IND;Animal originated products not elsewhere specified or included;22987
2018;Import;United Kingdom;GBR;China;CHN;Animal originated products not elsewhere specified or included;47915953
2018;Export;United Kingdom;GBR;China;CHN;Animal originated products not elsewhere specified or included;3519262
2018;Import;United Kingdom;GBR;France;FRA;Animal originated products not elsewhere specified or included;5986320
2018;Export;United Kingdom;GBR;France;FRA;Animal originated products not elsewhere specified or included;16000692
2018;Import;United Kingdom;GBR;Germany;DEU;Animal originated products not elsewhere specified or included;18977519
2018;Export;United Kingdom;GBR;Germany;DEU;Animal originated products not elsewhere specified or included;15823784
2018;Import;United Kingdom;GBR;India;IND;Animal originated products not elsewhere specified or included;1383339
2018;Export;United Kingdom;GBR;India;IND;Animal originated products not elsewhere specified or included;154158
2017;Import;United Kingdom;GBR;China;CHN;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;934932
2017;Export;United Kingdom;GBR;China;CHN;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;344347
2017;Import;United Kingdom;GBR;France;FRA;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;8270125
2017;Export;United Kingdom;GBR;France;FRA;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;2657120
2017;Import;United Kingdom;GBR;Germany;DEU;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;32216234
2017;Export;United Kingdom;GBR;Germany;DEU;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;5427677
2017;Import;United Kingdom;GBR;India;IND;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;5107544
2017;Export;United Kingdom;GBR;India;IND;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;475846
2018;Import;United Kingdom;GBR;China;CHN;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1116392
2018;Export;United Kingdom;GBR;China;CHN;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;385984
2018;Import;United Kingdom;GBR;France;FRA;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;7421390
2018;Export;United Kingdom;GBR;France;FRA;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;3143091
2018;Import;United Kingdom;GBR;Germany;DEU;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;36926695
2018;Export;United Kingdom;GBR;Germany;DEU;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;6089611
2018;Import;United Kingdom;GBR;India;IND;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;5518031
2018;Export;United Kingdom;GBR;India;IND;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;657375
2017;Import;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;92024432
2017;Export;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;3366513
2017;Re-Export;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;11373
2017;Import;United Kingdom;GBR;France;FRA;Vegetables and certain roots and tubers edible;185805289
2017;Export;United Kingdom;GBR;France;FRA;Vegetables and certain roots and tubers edible;22693532
2017;Import;United Kingdom;GBR;Germany;DEU;Vegetables and certain roots and tubers edible;173222143
2017;Export;United Kingdom;GBR;Germany;DEU;Vegetables and certain roots and tubers edible;15497754
2017;Import;United Kingdom;GBR;India;IND;Vegetables and certain roots and tubers edible;52711380
2017;Export;United Kingdom;GBR;India;IND;Vegetables and certain roots and tubers edible;93306
2018;Import;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;80834614
2018;Export;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;4349247
2018;Import;United Kingdom;GBR;France;FRA;Vegetables and certain roots and tubers edible;188739318
2018;Export;United Kingdom;GBR;France;FRA;Vegetables and certain roots and tubers edible;24765468
2018;Import;United Kingdom;GBR;Germany;DEU;Vegetables and certain roots and tubers edible;178766652
2018;Export;United Kingdom;GBR;Germany;DEU;Vegetables and certain roots and tubers edible;22417582
2018;Import;United Kingdom;GBR;India;IND;Vegetables and certain roots and tubers edible;53291318
2018;Export;United Kingdom;GBR;India;IND;Vegetables and certain roots and tubers edible;106961
2017;Import;United Kingdom;GBR;China;CHN;Fruit and nuts, edible peel of citrus fruit or melons;47733201
2017;Export;United Kingdom;GBR;China;CHN;Fruit and nuts, edible peel of citrus fruit or melons;376876
2017;Import;United Kingdom;GBR;France;FRA;Fruit and nuts, edible peel of citrus fruit or melons;258162608
2017;Export;United Kingdom;GBR;France;FRA;Fruit and nuts, edible peel of citrus fruit or melons;56384634
2017;Import;United Kingdom;GBR;Germany;DEU;Fruit and nuts, edible peel of citrus fruit or melons;395951353
2017;Export;United Kingdom;GBR;Germany;DEU;Fruit and nuts, edible peel of citrus fruit or melons;24528396
2017;Import;United Kingdom;GBR;India;IND;Fruit and nuts, edible peel of citrus fruit or melons;74246928
